catalog_id,smiles,vendor,natural_product_like
m_274552____23522234____13186060____15985714,C=CC[C@@H](CC(=O)N(C)C1CC(C)(C)C1)NC(=O)C1(COC)CCCC1,Enamine_REAL,true
s_2708____28646028____29802298,CC(CO)(COCC1=CC=CC=C1)NC(=O)NC[C@H]1C[C@H]1CC1=CC=CC=C1,Enamine_REAL,true
m_280710____31664418____31665268____31725130,CC1=NN=C([C@H](C)NC(=O)[C@H]2CCC[C@@H]2C(=O)N[C@H](CF)C(F)(F)F)N1,Enamine_REAL,false
m_275592____25034140____18920396____46287010,C=CC[C@H](C)C(=O)N[C@@H](CC)CNC(=O)C1=CN=C(OC)C(C)=C1,Enamine_REAL,false
m_275592____14114508____25315956____25326848,CCO[C@@H]1CN(C(=O)CC2CNC(=O)O2)C[C@H]1CNC(=O)C1=CC=C(C2CC2)N=N1,Enamine_REAL,false
m_280710____31606790____31665132____44235176,CC(=O)C1CCC(NC(=O)CCC(=O)NCC2=C(C)C=CS2)C1,Enamine_REAL,false
m_281630____27022118____21617708____31833042,COC1=NC(Cl)=C(C(C2=NN=NN2CCO)N2CCCCC(C)(F)C2)N1C,Enamine_REAL,false
m_274552____23520636____24987160____15978470,CC1=C(C)NC(C(=O)NC(C(=O)N[C@H]2CCC[C@H]2CN(C)C)C2(O)CCC2)=C1,Enamine_REAL,false
m_282151____27621740____25195428____25278136,CC1OCCC1(O)CN(CC1=CC=C2CCOC2=C1)C(=O)C1C(C)(C)C1(C)C,Enamine_REAL,true
m_40____16660740____8627388,CCOC1(CO)CN(S(=O)(=O)C(C)CCOC)C1,Enamine_REAL,true
m_280710____43767030____31697350____31810574,CO[C@H]1C[C@@H](CC(=O)N2CCC(O)(C(=O)N[C@H]3COC[C@H]3O)CC2)C1,Enamine_REAL,true
m_280710____31607314____31665184____31723442,O=C(NCCC1=CC=NO1)[C@H]1CC[C@@H](C(=O)NCC(O)C2=CC=CN=C2)C1,Enamine_REAL,false
m_274552____23519730____15971722____12354028,CCCC(OC)C(=O)N[C@H]1C=CC[C@H](C(=O)N2CC(O)(COC)C2)C1,Enamine_REAL,true
m_274552____23519474____24995788____25044728,O=C(N[C@H]1COC[C@@H]1O)C1CCOCCN1C(=O)C1=NOC2(CCC2)C1,Enamine_REAL,false
m_280710____31585178____31693976____31730628,CC(O)CCCNC(=O)C1COCCN1C(=O)CC1=CN=CN1,Enamine_REAL,false
m_280710____31601184____31665222____31741720,COC1CCC(NC(=O)C2=NN(C)C(C(=O)NCC3=CC(=O)N=CN3)=C2)CC1,Enamine_REAL,false
m_282155____26930858____26908162____26919894,CCN1N=CC(C)=C1CN(CC1=CC=C(C)N=C1C)C[C@H]1C[C@H]2C=C[C@@H]1O2,Enamine_REAL,false
m_280710____31603910____31665126____31744164,CCN1C=CC(CN(C)C(=O)C(C(=O)N[C@H](C)CCO)C(C)C)=N1,Enamine_REAL,false
m_274552____23519554____15972294____25025862,CC1=C(C)CN(C(=O)[C@@H]2CC[C@H](C)N2C(=O)[C@H]2CNC(=O)C2)CC1,Enamine_REAL,false
s_1458____11619308____1291016,CCOC(=O)C1(C(=O)OCC2=NOC(C(C)C)=N2)CCCC1,Enamine_REAL,false
m_275592____14114986____46003034____14130884,C#CCC/C=C/C(=O)N1CC(C)C(CNC(=O)C(C)(C)C(C)(F)F)C1,Enamine_REAL,true
m_274552____23520916____15965892____15974224,CC(C)C1=CC(C(=O)N2C[C@H](C)[C@@H](CC(=O)NCC[C@H]3OCC[C@H]3C)C2)=NN1,Enamine_REAL,false
s_22____15066184____6008750,CC(=O)NC(CC1=CNC2=CC=C(Br)C=C12)C(=O)NCC1=CC=CC2=C1N=NN2,Enamine_REAL,false
m_275592____23208076____18916990____13186634,CC1=CC(CC(=O)NC2CC3(CCN(C(=O)C4C=CCCC4)CC3)C2)=NN1,Enamine_REAL,false
m_281630____21609836____21624310____20648564,COC1=CC=C(NC2(C3=NN=NN3C3CCCCC3)CCN(C(=O)N(C)C)CC2)C=C1SC,Enamine_REAL,false
m_280710____31610970____44051016____31799644,COC1=CC=CC=C1CNC(=O)CC(C(=O)NC(C)CC(Cl)Cl)C(C)C,Enamine_REAL,false
s_188690____20852932____19493722,C=CCCCC(NC(=O)C1=NN(C)C2=C1CCC2)C(=O)O,Enamine_REAL,false
s_22____12711156____25074500,CCC(C(=O)N1CC(N2CCOCC2C2=NC(C)=NO2)C1)C1=CC=CC(Br)=C1,Enamine_REAL,false
